model,seed,step,train_loss,eval_loss_BPT,eval_BPSS_star,eval_corpus
syn8,42,100,5.605655,,,
syn8,42,200,5.556472,,,
syn8,42,300,5.553380,,,
syn8,42,400,5.552535,,,
syn8,42,500,5.552242,,,
syn8,42,600,5.552549,,,
syn8,42,700,5.552153,,,
syn8,42,800,5.552900,,,
syn8,42,900,5.552598,,,
syn8,42,1000,5.552588,,,
syn8,42,1100,5.552295,,,
syn8,42,1200,5.551540,,,
syn8,42,1300,5.551444,,,
syn8,42,1400,5.550901,,,
syn8,42,1500,5.550943,,,
syn8,42,1600,5.550338,,,
syn8,42,1700,5.550177,,,
syn8,42,1800,5.549899,,,
syn8,42,1900,5.549761,,,
syn8,42,2000,5.549488,,,
syn8,42,2000,5.549916,19.451639,9.691317,syn2
syn8,42,2000,5.549916,19.391589,9.661399,syn4
syn8,42,2000,5.549916,8.005441,1.994258,syn8
syn8,42,2000,5.549916,19.364749,12.060040,syn12
syn8,42,2100,5.549380,,,
syn8,42,2200,5.549143,,,
syn8,42,2300,5.548902,,,
syn8,42,2400,5.548755,,,
syn8,42,2500,5.548806,,,
syn8,42,2600,5.548647,,,
syn8,42,2700,5.548452,,,
syn8,42,2800,5.548284,,,
syn8,42,2900,5.548096,,,
syn8,42,3000,5.548086,,,
syn8,42,3100,5.548048,,,
syn8,42,3200,5.548036,,,
syn8,42,3300,5.547791,,,
syn8,42,3400,5.547943,,,
syn8,42,3500,5.547700,,,
syn8,42,3600,5.547480,,,
syn8,42,3700,5.547526,,,
syn8,42,3800,5.547449,,,
syn8,42,3900,5.547464,,,
syn8,42,4000,5.547335,,,
syn8,42,4000,5.547401,18.683954,9.308836,syn2
syn8,42,4000,5.547401,14.294785,7.122037,syn4
syn8,42,4000,5.547401,8.002653,1.993563,syn8
syn8,42,4000,5.547401,14.396432,8.965856,syn12
syn8,42,4100,5.547357,,,
syn8,42,4200,5.547212,,,
syn8,42,4300,5.547133,,,
syn8,42,4400,5.547069,,,
syn8,42,4500,5.546946,,,
syn8,42,4600,5.547046,,,
syn8,42,4700,5.546993,,,
syn8,42,4800,5.546807,,,
syn8,42,4900,5.546831,,,
syn8,42,5000,5.546861,,,
syn8,42,5100,5.546798,,,
syn8,42,5200,5.546731,,,
syn8,42,5300,5.546710,,,
syn8,42,5400,5.546692,,,
syn8,42,5500,5.546596,,,
syn8,42,5600,5.546635,,,
syn8,42,5700,5.546521,,,
syn8,42,5800,5.546482,,,
syn8,42,5900,5.546514,,,
syn8,42,6000,5.546569,,,
syn8,42,6000,5.546341,21.763426,10.843110,syn2
syn8,42,6000,5.546341,21.685583,10.804327,syn4
syn8,42,6000,5.546341,8.001769,1.993343,syn8
syn8,42,6000,5.546341,21.666734,13.493678,syn12
syn8,42,6100,5.546375,,,
syn8,42,6200,5.546438,,,
syn8,42,6300,5.546442,,,
syn8,42,6400,5.546254,,,
syn8,42,6500,5.546260,,,
syn8,42,6600,5.546303,,,
syn8,42,6700,5.546232,,,
syn8,42,6800,5.546203,,,
syn8,42,6900,5.546147,,,
syn8,42,7000,5.546197,,,
syn8,42,7100,5.546131,,,
syn8,42,7200,5.546133,,,
syn8,42,7300,5.546052,,,
syn8,42,7400,5.546102,,,
syn8,42,7500,5.546016,,,
syn8,42,7600,5.546052,,,
syn8,42,7700,5.546002,,,
syn8,42,7800,5.545985,,,
syn8,42,7900,5.545922,,,
syn8,42,8000,5.546006,,,
syn8,42,8000,5.546327,22.520912,11.220509,syn2
syn8,42,8000,5.546327,22.443433,11.181907,syn4
syn8,42,8000,5.546327,8.001169,1.993194,syn8
syn8,42,8000,5.546327,22.418315,13.961750,syn12
syn8,42,8100,5.545923,,,
syn8,42,8200,5.545896,,,
syn8,42,8300,5.545921,,,
syn8,42,8400,5.545822,,,
syn8,42,8500,5.545881,,,
syn8,42,8600,5.545871,,,
syn8,42,8700,5.545834,,,
syn8,42,8800,5.545839,,,
syn8,42,8900,5.545820,,,
syn8,42,9000,5.545804,,,
syn8,42,9100,5.545789,,,
syn8,42,9200,5.545773,,,
syn8,42,9300,5.545776,,,
syn8,42,9400,5.545771,,,
syn8,42,9500,5.545716,,,
syn8,42,9600,5.545766,,,
syn8,42,9700,5.545723,,,
syn8,42,9800,5.545689,,,
syn8,42,9900,5.545683,,,
syn8,42,10000,5.545700,,,
syn8,42,10000,5.545799,23.333955,11.625589,syn2
syn8,42,10000,5.545799,23.261104,11.589292,syn4
syn8,42,10000,5.545799,8.000696,1.993076,syn8
syn8,42,10000,5.545799,23.231259,14.468038,syn12
syn8,42,10100,5.545656,,,
syn8,42,10200,5.545669,,,
syn8,42,10300,5.545645,,,
syn8,42,10400,5.545667,,,
syn8,42,10500,5.545605,,,
syn8,42,10600,5.545615,,,
syn8,42,10700,5.545621,,,
syn8,42,10800,5.545596,,,
syn8,42,10900,5.545581,,,
syn8,42,11000,5.545593,,,
syn8,42,11100,5.545571,,,
syn8,42,11200,5.545573,,,
syn8,42,11300,5.545571,,,
syn8,42,11400,5.545571,,,
syn8,42,11500,5.545520,,,
syn8,42,11600,5.545506,,,
syn8,42,11700,5.545535,,,
syn8,42,11800,5.545532,,,
syn8,42,11900,5.545531,,,
syn8,42,12000,5.545495,,,
syn8,42,12000,5.545078,23.795545,11.855565,syn2
syn8,42,12000,5.545078,23.712561,11.814220,syn4
syn8,42,12000,5.545078,8.000511,1.993030,syn8
syn8,42,12000,5.545078,23.688878,14.753035,syn12
syn8,42,12100,5.545500,,,
syn8,42,12200,5.545477,,,
syn8,42,12300,5.545515,,,
syn8,42,12400,5.545492,,,
syn8,42,12500,5.545467,,,
syn8,42,12600,5.545465,,,
syn8,42,12700,5.545486,,,
syn8,42,12800,5.545470,,,
syn8,42,12900,5.545434,,,
syn8,42,13000,5.545457,,,
syn8,42,13100,5.545467,,,
syn8,42,13200,5.545462,,,
syn8,42,13300,5.545441,,,
syn8,42,13400,5.545430,,,
syn8,42,13500,5.545402,,,
syn8,42,13600,5.545432,,,
syn8,42,13700,5.545419,,,
syn8,42,13800,5.545408,,,
syn8,42,13900,5.545416,,,
syn8,42,14000,5.545429,,,
syn8,42,14000,5.545670,23.974093,11.944522,syn2
syn8,42,14000,5.545670,23.908208,11.911697,syn4
syn8,42,14000,5.545670,8.000193,1.992951,syn8
syn8,42,14000,5.545670,23.886041,14.875825,syn12
