test,transition,high_mean,low_mean,degradation,ratio
linear,INT8→INT6,0.9999410699190057,0.9990144027808578,0.0009266671381478186,0.9990732782500644
linear,INT6→INT5,0.9990144027808578,0.995815167468836,0.0031992353120218198,0.9967976084197421
linear,INT5→INT4,0.995815167468836,0.9812257648999575,0.014589402568878529,0.9853492866492867
linear,INT4→INT3,0.9812257648999575,0.9092584908594704,0.07196727404048708,0.9266557436475136
linear,INT3→INT2,0.9092584908594704,0.36118118106915753,0.5480773097903129,0.3972260745431736
attention,INT8→INT6,0.9999994135322184,0.9999992601903274,1.5334189107374385e-07,0.999999846658019
attention,INT6→INT5,0.9999992601903274,0.99999873575445,5.244358773914826e-07,0.9999994755637346
attention,INT5→INT4,0.99999873575445,0.9999962885764845,2.4471779654922088e-06,0.9999975528189406
attention,INT4→INT3,0.9999962885764845,0.9999809807013179,1.5307875166570284e-05,0.9999846920680192
attention,INT3→INT2,0.9999809807013179,0.999944085365199,3.689533611894724e-05,0.9999631039621443
block,INT8→INT6,0.9999933651667002,0.9998943128749233,9.905229177697983e-05,0.9999009470510232
block,INT6→INT5,0.9998943128749233,0.9995530268882424,0.0003412859866808171,0.999658677939972
block,INT5→INT4,0.9995530268882424,0.9978969221341417,0.0016561047541007179,0.9983431546805912
block,INT4→INT3,0.9978969221341417,0.9881015701253218,0.009795352008819869,0.9901840041876558
block,INT3→INT2,0.9881015701253218,0.9742113419600923,0.013890228165229557,0.9859425097730916
