test,n_bits,seed,in_dim,out_dim,mse,cosine_similarity,max_absolute_error,relative_error,sqnr_db,signal_power,noise_power
linear,8,42,256,256,1.0597305e-05,0.9999482944191666,0.0148194805,0.07898187,39.86142158508301,0.102644935,1.0597305e-05
linear,8,42,512,512,2.2236263e-05,0.9999463155766901,0.022559881,0.16207851,39.656970500946045,0.20547494,2.2236263e-05
linear,8,42,768,768,3.7169317e-05,0.9999393213304825,0.03066364,0.081859514,39.169583320617676,0.30700314,3.7169317e-05
linear,8,137,256,256,1.076831e-05,0.9999471024431322,0.01582855,0.09917069,39.77866172790527,0.10233255,1.076831e-05
linear,8,137,512,512,2.1443126e-05,0.999947517684151,0.021115635,0.077665344,39.77528095245361,0.20361796,2.1443126e-05
linear,8,137,768,768,5.001923e-05,0.999918846151846,0.032182515,0.095011935,37.89283037185669,0.30790737,5.001923e-05
linear,8,2024,256,256,1.0341318e-05,0.9999493078971646,0.014463186,0.079268724,40.01870155334473,0.103859514,1.0341318e-05
linear,8,2024,512,512,2.4073093e-05,0.9999419597812768,0.022635043,0.09065144,39.34065818786621,0.20682244,2.4073093e-05
linear,8,2024,768,768,4.2738506e-05,0.9999309639871403,0.03093248,0.098374195,38.59895467758179,0.30953854,4.2738506e-05
linear,6,42,256,256,0.00017889799,0.9991400628859904,0.06582266,0.35057327,27.587320804595947,0.102644935,0.00017889799
linear,6,42,512,512,0.00037150824,0.9990999636202034,0.0889512,0.5118776,27.42790460586548,0.20547494,0.00037150824
linear,6,42,768,768,0.0006211987,0.9989829738348331,0.12301695,0.3709512,26.939122676849365,0.30700314,0.0006211987
linear,6,137,256,256,0.00018052454,0.9991219833461642,0.06343164,0.49058002,27.534775733947754,0.10233255,0.00018052454
linear,6,137,512,512,0.00036193387,0.9991052320905918,0.08418001,0.3177507,27.501869201660156,0.20361796,0.00036193387
linear,6,137,768,768,0.00083576964,0.9986537289526567,0.14298625,0.37463224,25.66333532333374,0.30790737,0.00083576964
linear,6,2024,256,256,0.00017237522,0.9991527057507357,0.06271887,0.293578,27.799713611602783,0.103859514,0.00017237522
linear,6,2024,512,512,0.00040276497,0.9990244747971082,0.09358382,0.42144018,27.105460166931152,0.20682244,0.00040276497
linear,6,2024,768,768,0.0007165903,0.9988484997494372,0.12670055,0.5377964,26.35443687438965,0.30953854,0.0007165903
linear,5,42,256,256,0.00074877735,0.996352422448566,0.13074961,0.7575477,21.369848251342773,0.102644935,0.00074877735
linear,5,42,512,512,0.0015781263,0.9962146656069619,0.1843047,1.3082767,21.14617109298706,0.20547494,0.0015781263
linear,5,42,768,768,0.0026552696,0.9957265651193383,0.24853677,0.69886345,20.630342960357666,0.30700314,0.0026552696
linear,5,137,256,256,0.00077473425,0.9962139664850039,0.11595973,0.96014136,21.20861053466797,0.10233255,0.00077473425
linear,5,137,512,512,0.0015351351,0.9962213993472386,0.19201706,0.6305649,21.226694583892822,0.20361796,0.0015351351
linear,5,137,768,768,0.0035757897,0.9942325057042294,0.26695114,0.7804135,19.350481033325195,0.30790737,0.0035757897
