modality,model,params,BPT,bits_per_byte,unit
language,pythia-70m,70426624,5.804650833959378,1.2997321651753657,bits/byte
language,pythia-160m,162322944,5.000725583974217,1.1197234901161566,bits/byte
language,pythia-410m,405334016,4.268797073115052,0.9558357636387881,bits/byte
language,pythia-1b,1011781632,3.988515837891327,0.8930773743513357,bits/byte
language,pythia-1.4b,1414647808,3.811226743062697,0.8533801822764043,bits/byte
language,gpt2,124439808,4.98341646378498,1.1050665170839276,bits/byte
language,gpt2-medium,354823168,4.516932799415908,1.0016243339938649,bits/byte
language,gpt2-large,774030080,4.303587829641591,0.9543153473981879,bits/byte
language,gpt2-xl,1557611200,4.154648888478389,0.9212883190200737,bits/byte
vision,MAE-Base,111907840,1.3253326596259651,1.3253326596259651,bits/pixel
vision,MAE-Large,329541888,1.3561378911342545,1.3561378911342545,bits/pixel
audio,NextMelFrame (LJ Speech),4296320,1.886,1.886,bits/mel_dim
