model,matrix,n_bits,method,cosine
pythia-160m,weight,4,symmetric,0.8544010673174377
pythia-160m,weight,4,NF4,0.9717392737319829
pythia-160m,weight,4,lloyd_max,0.990020769112053
pythia-160m,weight,3,symmetric,0.5049986443706406
pythia-160m,weight,3,NF4,0.9458502598924149
pythia-160m,weight,3,lloyd_max,0.9654588296623365
pythia-160m,weight,4,symmetric,0.8705900951172553
pythia-160m,weight,4,NF4,0.9772801593093995
pythia-160m,weight,4,lloyd_max,0.9859198336833052
pythia-160m,weight,3,symmetric,0.44166090164987437
pythia-160m,weight,3,NF4,0.9556481650432788
pythia-160m,weight,3,lloyd_max,0.9657804524049505
pythia-160m,weight,4,symmetric,0.9785369929212786
pythia-160m,weight,4,NF4,0.9879719890478291
pythia-160m,weight,4,lloyd_max,0.9932745306053975
pythia-160m,weight,3,symmetric,0.8976449480314218
pythia-160m,weight,3,NF4,0.9680476216162635
pythia-160m,weight,3,lloyd_max,0.9762593151214127
pythia-410m,weight,4,symmetric,0.9065245983925448
pythia-410m,weight,4,NF4,0.9726623022806875
pythia-410m,weight,4,lloyd_max,0.9879090953867676
pythia-410m,weight,3,symmetric,0.6425574140413657
pythia-410m,weight,3,NF4,0.9477582456944034
pythia-410m,weight,3,lloyd_max,0.9650064407934906
pythia-410m,weight,4,symmetric,0.8621148771570517
pythia-410m,weight,4,NF4,0.9808493696637888
pythia-410m,weight,4,lloyd_max,0.987645935336324
pythia-410m,weight,3,symmetric,0.4017425534654678
pythia-410m,weight,3,NF4,0.9599938082807018
pythia-410m,weight,3,lloyd_max,0.9694120685540045
pythia-410m,weight,4,symmetric,0.9780156341368696
pythia-410m,weight,4,NF4,0.9882618616549569
pythia-410m,weight,4,lloyd_max,0.9931056400606726
pythia-410m,weight,3,symmetric,0.8945476501635297
pythia-410m,weight,3,NF4,0.968726868549178
pythia-410m,weight,3,lloyd_max,0.9768492817025918
pythia-1.4b,weight,4,symmetric,0.9061687868524985
pythia-1.4b,weight,4,NF4,0.9791499006675433
pythia-1.4b,weight,4,lloyd_max,0.9910913708890674
pythia-1.4b,weight,3,symmetric,0.6212032802403378
pythia-1.4b,weight,3,NF4,0.9554658668799111
pythia-1.4b,weight,3,lloyd_max,0.9684611458144762
pythia-1.4b,weight,4,symmetric,0.7181635444858748
pythia-1.4b,weight,4,NF4,0.9788793074523807
pythia-1.4b,weight,4,lloyd_max,0.9863338889783492
pythia-1.4b,weight,3,symmetric,0.19092902398004843
pythia-1.4b,weight,3,NF4,0.9581232144127066
pythia-1.4b,weight,3,lloyd_max,0.9667679105242174
pythia-1.4b,weight,4,symmetric,0.9707293831013716
pythia-1.4b,weight,4,NF4,0.9882487567318254
pythia-1.4b,weight,4,lloyd_max,0.9934253987505984
pythia-1.4b,weight,3,symmetric,0.8638949038364745
pythia-1.4b,weight,3,NF4,0.9686260383627917
pythia-1.4b,weight,3,lloyd_max,0.9764975699381866
gpt2-medium,weight,4,symmetric,0.8502953225070133
gpt2-medium,weight,4,NF4,0.9471522591223407
gpt2-medium,weight,4,lloyd_max,0.983652850875487
gpt2-medium,weight,3,symmetric,0.5522205191236346
gpt2-medium,weight,3,NF4,0.9151736451200095
gpt2-medium,weight,3,lloyd_max,0.9518911253132276
gpt2-medium,weight,4,symmetric,0.756999643142227
gpt2-medium,weight,4,NF4,0.9613022121006278
gpt2-medium,weight,4,lloyd_max,0.9810042327058031
gpt2-medium,weight,3,symmetric,0.36435162589724646
gpt2-medium,weight,3,NF4,0.9354741002842314
gpt2-medium,weight,3,lloyd_max,0.9539605225327412
gpt2-medium,weight,4,symmetric,0.7936611497869336
gpt2-medium,weight,4,NF4,0.9851765649709896
gpt2-medium,weight,4,lloyd_max,0.992166819636492
gpt2-medium,weight,3,symmetric,0.22093365208726015
gpt2-medium,weight,3,NF4,0.9652746935177164
gpt2-medium,weight,3,lloyd_max,0.973711054038297
