entropy_level,level_name,approx_bits,seed,eval_mae_loss,eval_mae_std,final_train_loss,n_eval_images,converged
0,uniform,~0,42,1e-06,0.0,1e-06,5000,yes
0,uniform,~0,137,1e-06,0.0,1e-06,5000,yes
0,uniform,~0,271,1e-06,0.0,1e-06,5000,yes
1,4-color-blocks,~2,42,0.062387,0.000327,0.063095,5000,plateau
1,4-color-blocks,~2,137,0.035907,0.000553,0.067509,5000,plateau
1,4-color-blocks,~2,271,0.097102,0.000286,0.045042,5000,plateau
2,16-color-blocks,~4,42,0.069823,0.000125,0.086898,5000,plateau
2,16-color-blocks,~4,137,0.078562,0.000258,0.090642,5000,plateau
2,16-color-blocks,~4,271,0.078433,0.000141,0.091348,5000,plateau
3,64-color-pixels,~6,42,0.085052,1.9e-05,0.094742,5000,plateau
3,64-color-pixels,~6,137,0.084551,2.1e-05,0.076401,5000,plateau
3,64-color-pixels,~6,271,0.082636,2e-05,0.086017,5000,plateau
4,natural-like,structured,42,0.01356,0.000414,0.013525,5000,yes
4,natural-like,structured,137,0.013472,0.000341,0.013426,5000,yes
4,natural-like,structured,271,0.013955,0.000356,0.013843,5000,yes
5,gaussian-noise,~7,42,0.057537,2.2e-05,0.057534,5000,plateau
5,gaussian-noise,~7,137,0.057535,1.6e-05,0.057532,5000,plateau
5,gaussian-noise,~7,271,0.057535,1.7e-05,0.057534,5000,plateau
6,uniform-noise,~8,42,0.083332,2.8e-05,0.083335,5000,plateau
6,uniform-noise,~8,137,0.083333,1.9e-05,0.083335,5000,plateau
6,uniform-noise,~8,271,0.083332,2.6e-05,0.083335,5000,plateau
