model,params_M,corpus,BPT,BPT_std,bits_per_char,bits_per_byte,chars_per_token,n_samples
Pythia-160M,160,english,4.9897,0.0051,1.1342,1.1326,4.4,5
Pythia-160M,160,german,4.1785,0.0128,1.5211,1.4647,2.75,5
Pythia-160M,160,french,4.2491,0.007,1.3416,1.2975,3.17,5
Pythia-160M,160,spanish,4.2976,0.0078,1.314,1.2864,3.27,5
Pythia-160M,160,dna,4.6689,0.0015,2.1221,2.1221,2.2,5
Pythia-160M,160,python,3.3091,0.0026,1.0963,1.0963,3.02,5
Pythia-160M,160,medical,4.7125,0.0294,0.94,0.94,5.01,5
Pythia-410M,410,english,4.2582,0.0054,0.968,0.9666,4.4,5
Pythia-410M,410,german,3.5307,0.0076,1.2853,1.2376,2.75,5
Pythia-410M,410,french,3.529,0.0066,1.1142,1.0776,3.17,5
Pythia-410M,410,spanish,3.5715,0.0047,1.092,1.069,3.27,5
Pythia-410M,410,dna,4.5102,0.0009,2.05,2.05,2.2,5
Pythia-410M,410,python,2.9673,0.0027,0.9831,0.9831,3.02,5
Pythia-410M,410,medical,4.0439,0.0282,0.8067,0.8067,5.01,5
Pythia-1.4B,1400,english,3.8085,0.0079,0.8657,0.8645,4.4,5
Pythia-1.4B,1400,german,3.0855,0.0066,1.1232,1.0815,2.75,5
Pythia-1.4B,1400,french,3.1007,0.0054,0.979,0.9468,3.17,5
Pythia-1.4B,1400,spanish,3.1321,0.0026,0.9576,0.9375,3.27,5
Pythia-1.4B,1400,dna,4.4876,0.0008,2.0397,2.0397,2.2,5
Pythia-1.4B,1400,python,2.8049,0.0025,0.9293,0.9293,3.02,5
Pythia-1.4B,1400,medical,3.6632,0.0273,0.7307,0.7307,5.01,5
